venue,citacoes,estrato,tipo,sigla_ou_issn,nome_qualis,como
International Conference on Software Architecture,4,A2,evento,ICSA,International Conference on Software Architecture,nome
2014 9th International Conference on the Quality of Information and Communications Technology,4,B1,evento,QUATIC,International Conference on Quality of Information and Communications Technology,nome aproximado
Procedia Computer Science,4,,,,,não listado
International Symposium on Open Collaboration,4,B1,evento,OPENSYM,International Symposium on Open Collaboration,nome
Communications in Computer and Information Science,4,B1,periódico,1865-0929,COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE,ISSN
International i* Workshop,4,B4,evento,ISTAR,International i*Workshop,nome
International Symposium on Information Science and Engineering,4,B4,evento,ISE,Workshop Brasileiro de Engenharia de Software Inteligente,nome
International Computing Education Research Workshop,4,,,,,workshop/trilha
2025 IEEE International Conference on Advances in Data-Driven Analytics And Intelligent Systems (ADACIS),4,,,,,não listado
2025 IEEE/ACM 47th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),4,,,,,workshop/trilha
,4,A2,periódico,0038-0644,"SOFTWARE, PRACTICE & EXPERIENCE (PRINT)",nome
Syst.,4,,,,,não listado
2019 IEEE 6th International Conference on Engineering Technologies and Applied Sciences (ICETAS),4,,,,,não listado
Complex,3,,,,,não listado
,3,A2,periódico,0164-1212,THE JOURNAL OF SYSTEMS AND SOFTWARE,nome
Brazilian Symposium on Games and Digital Entertainment,3,A4,evento,SBGAMES,Simpósio Brasileiro de Jogos e Entretenimento Digital,nome
Requirements Engineering: Foundation for Software Quality,3,,,,,não listado
Anais Estendidos do XVIII Simpósio Brasileiro de Sistemas de Informação (SBSI Estendido 2022),3,A4,evento,SBSI,Simpósio Brasileiro de Sistemas de Informação,nome
International Journal of Agent-Oriented Software Engineering,3,,,,,não listado
EA@AOSD,3,,,,,workshop/trilha
"2010 Fourth Brazilian Symposium on Software Components, Architectures and Reuse",3,,,,,não listado
CAiSE Workshops,3,,,,,workshop/trilha
ACS/IEEE International Conference on Computer Systems and Applications,3,A4,evento,AICCSA,ACS/IEEE International Conference on Computer Systems and Applications,nome
"IEEE International Conference on Software Quality, Reliability and Security Companion",3,,,,,workshop/trilha
2024 IEEE/ACM 46th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),3,A1,evento,ICSE-SEIP,ACM International Conference on Software Engineering: Software Engineering in Practice,nome
2009 33rd Annual IEEE Software Engineering Workshop,3,,,,,workshop/trilha
2023 IEEE/ACM 45th International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET),3,B1,evento,ICSE-SEET,ACM International Conference on Software Engineering: Software Engineering Education and Training,nome
,3,C,periódico,2278-0181,INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH & TECHNOLOGY,nome
International Conference on Crowd Science and Engineering,3,,,,,não listado
"2011 Fifth Brazilian Symposium on Software Components, Architectures and Reuse",3,,,,,não listado
2012 IEEE Seventh International Conference on Global Software Engineering,3,,,,,não listado
Eä,3,,,,,não listado
Environmental and Sustainability Indicators,3,,,,,não listado
International Workshop on Groupware,3,,,,,workshop/trilha
Swarm and Evolutionary Computation,3,A1,periódico,2210-6502,SWARM AND EVOLUTIONARY COMPUTATION,ISSN
Latin American Conference on Pattern Languages of Programs,3,,,,,não listado
European Conference on Object-Oriented Programming,3,A3,evento,ECOOP,European Conference on Object-Oriented Programming,nome
Cluster Computing,3,A2,periódico,1386-7857,CLUSTER COMPUTING,ISSN
Inf.,3,,,,,não listado
"Soft Computing - A Fusion of Foundations, Methodologies and Applications",3,A1,periódico,1432-7643,SOFT COMPUTING (BERLIN. PRINT),ISSN
Journal of Software Engineering and Applications,3,B3,periódico,1945-3116,JOURNAL OF SOFTWARE ENGINEERING AND APPLICATIONS (PRINT),ISSN
2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C),3,,,,,workshop/trilha
International Conference on Web Information Systems and Technologies,3,A4,evento,WEBIST,International Conference on Web Information Systems and Technologies,nome
Information Systems Frontiers,3,,,,,não listado
Periodicals of Engineering and Natural Sciences (PEN),3,,,,,não listado
ICST Transactions on Scalable Information Systems,3,,,,,não listado
Computer Science and Information Systems,3,B1,periódico,1820-0214,COMPUTER SCIENCE AND INFORMATION SYSTEMS,ISSN
iStar@ER,3,,,,,workshop/trilha
International Conference on Computer Supported Cooperative Work in Design,3,A3,evento,CSCWD,IEEE International Conference on Computer Supported Cooperative Work in Design,nome
International Workshop on Software Health,3,,,,,workshop/trilha
Ausgezeichnete Informatikdissertationen,3,,,,,não listado
Mathematics,3,C,periódico,2227-7390,MATHEMATICS,ISSN
Anais do XXX Simpósio Brasileiro de Informática na Educação (SBIE 2019),3,A3,evento,SBIE,Simpósio Brasileiro de Informática na Educação,nome
Anais do XI Computer on the Beach - COTB '20,3,,,,,não listado
Euro American Conference on Telematics and Information Systems,3,B2,evento,EATIS,Euro American Conference on Telematics and Information Systems,nome
Engineering Interactive Computing System,3,,,,,não listado
Annual Conference on Innovation and Technology in Computer Science Education,3,A1,evento,ITICSE,Joint Conference on Innovation and Technology in Computer Science Education,nome aproximado
Journal of educational computing research,3,,,,,não listado
European Journal of Engineering Education,3,,,,,não listado
ICSE Companion,3,,,,,workshop/trilha
