venue,citacoes,estrato,tipo,sigla_ou_issn,nome_qualis,como
16th IEEE International Symposium on Object/component/service-oriented Real-time distributed Computing (ISORC 2013),1,A4,evento,ISORC,IEEE International Symposium on RealTime Distributed Computing,sigla
IEEE International Advance Computing Conference,1,,,,,não listado
Brazilian Symposium on Computer Networks and Distributed Systems,1,A4,evento,SBRC,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos,apelido
J. Cases Inf. Technol.,1,,,,,não listado
2018 IEEE/ACM International Conference on Technical Debt (TechDebt),1,A3,evento,TECHDEBT,International Conference on Technical Debt,nome
International Conference on Reliability Optimization and Information Technology,1,,,,,não listado
2014 IEEE 5th International Conference on Software Engineering and Service Science,1,A4,evento,ICSESS,International Conference on Software Engineering and Service Science,nome
Scalable Trusted Computing,1,,,,,não listado
"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",1,B1,periódico,2194-9050,"ISPRS ANNALS OF THE PHOTOGRAMMETRY, REMOTE SENSING AND SPATIAL INFORMATION SCIENCES",nome
,1,A2,periódico,0957-4158,MECHATRONICS (OXFORD),nome
2016 2nd IEEE International Conference on Computer and Communications (ICCC),1,A1,evento,INFOCOM,IEEE International Conference on Computer Communications,nome aproximado
International Journal of Software and Informatics,1,,,,,não listado
2026 International Conference on Smart Futuristic Technology,1,,,,,não listado
,1,B3,periódico,1945-3116,JOURNAL OF SOFTWARE ENGINEERING AND APPLICATIONS (PRINT),nome
Bioinformatics,1,A1,periódico,1367-4803,BIOINFORMATICS (OXFORD. PRINT),ISSN
Proceedings of the 2026 Symposium on Software Engineering in the Global South,1,,,,,não listado
International Conference on Information and Communicatiaon Technology,1,,,,,não listado
Advances in Science and Technology Research Journal,1,,,,,não listado
"International journal of mathematical, engineering and management sciences",1,,,,,não listado
International Journal of Quality &amp; Reliability Management,1,A3,periódico,0265-671X,INTERNATIONAL JOURNAL OF QUALITY AND RELIABILITY MANAGEMENT,nome
International Conference on Futuristic Trends on Computational Analysis and Knowledge Management,1,,,,,não listado
Computer/law journal,1,A4,periódico,1460-2067,COMPUTER JOURNAL (ONLINE),nome
International Conference on Distributed Computing and Internet Technology,1,,,,,não listado
Proceedings of the 2026 IEEE/ACM 2nd International Workshop on Neuro-Symbolic Software Engineering,1,,,,,workshop/trilha
2021 IEEE 12th International Conference on Software Engineering and Service Science (ICSESS),1,A4,evento,ICSESS,International Conference on Software Engineering and Service Science,nome
2016 IEEE/ACM 1st International Workshop on Variability and Complexity in Software Design (VACE),1,,,,,workshop/trilha
Chemometrics and Intelligent Laboratory Systems,1,A1,periódico,0169-7439,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS (PRINT),ISSN
Food Control,1,A1,periódico,0956-7135,FOOD CONTROL,ISSN
Ide,1,,,,,workshop/trilha
International Symposium on Computers in Education,1,B2,evento,SIIE,Simpósio Internacional de Informática Educatica,sigla
Accounting Education,1,,,,,não listado
International Conference Control and Robots,1,,,,,não listado
Journal of Education Technology,1,,,,,não listado
Frontiers of Computer Science,1,A1,periódico,2095-2228,FRONTIERS OF COMPUTER SCIENCE (PRINT),ISSN
World Symposium on Software Engineering,1,,,,,não listado
International Journal of Computing and Digital Systems,1,B2,periódico,2210-142X,INTERNATIONAL JOURNAL OF COMPUTING AND DIGITAL SYSTEMS,ISSN
2024 IEEE 4th International Conference on Software Engineering and Artificial Intelligence (SEAI),1,,,,,não listado
Trends in Neuroscience and Education,1,,,,,não listado
2024 IEEE 5th International Symposium on the Internet of Sounds (IS2),1,,,,,não listado
"Autonomous Infrastructure, Management and Security",1,,,,,não listado
INNOVACADEMIA,1,,,,,não listado
ISS Companion,1,,,,,workshop/trilha
Mediterranean Conference on Information Systems,1,,,,,não listado
International Conference on Foundations of Digital Games,1,A2,evento,FDG,International Conference on Foundations of Digital Games,nome
2026 IEEE Engineering Education World Conference (EDUNINE),1,,,,,não listado
Anais da VII Escola Regional de Engenharia de Software (ERES 2023),1,,,,,não listado
Anais do III Simpósio Brasileiro de Educação em Computação (EDUCOMP 2023),1,B1,evento,EDUCOMP,Simpósio Brasileiro de Educação em Computação,nome
European journal of dental education,1,,,,,não listado
Functional Safety and Proof of Compliance,1,,,,,não listado
JOIV: International Journal on Informatics Visualization,1,,,,,não listado
FEBS Open Bio,1,,,,,não listado
"Proceedings of the 2025 16th International Conference on E-business, Management and Economics",1,,,,,não listado
MedienPädagogik: Zeitschrift für Theorie und Praxis der Medienbildung,1,,,,,não listado
SIGCSE Virtual,1,,,,,não listado
BULLETIN Series of Physics &amp; Mathematical Sciences,1,,,,,não listado
Anais do XXIX Workshop de Informática na Escola (WIE 2023),1,A4,evento,WIE,Workshop de Informática na Escola,nome
The eurasia proceedings of educational & social sciences,1,,,,,não listado
Anais do XX Workshop Anual do MPS (WAMPS 2024),1,,,,,workshop/trilha
2021 6th International Conference on Management in Emerging Markets (ICMEM),1,,,,,não listado
International Conference on Artificial Intelligence in Education,1,A2,evento,AIED,International Conference on Artificial Intelligence in Education,nome
European Conference on e-Learning,1,,,,,não listado
Journal of Computer Science and Engineering (JCSE),1,,,,,não listado
Review of accounting studies,1,,,,,não listado
RISTI - Revista Ibérica de Sistemas e Tecnologias de Informação,1,,,,,não listado
International Journal of Software Engineering &amp; Applications,1,B2,periódico,0975-9018,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING & APPLICATIONS (IJSEA),nome
"Proceedings of the 2nd International Conference on Environmental, Energy, and Earth Science, ICEEES 2023, 30 October 2023, Pekanbaru, Indonesia",1,,,,,não listado
International Conference on Education Technology and Computer,1,,,,,não listado
Journal of Computers in Education,1,A1,periódico,2197-9995,JOURNAL OF COMPUTERS IN EDUCATION,ISSN
"Conference on Privacy, Security and Trust",1,A4,evento,PST,"International Conference on Privacy, Security and Trust",sigla
Educational technology research and development,1,,,,,não listado
Multimodal Technologies and Interaction,1,C,periódico,2414-4088,MULTIMODAL TECHNOLOGIES INTERACT,ISSN
IEEE Journal of Oceanic Engineering,1,,,,,não listado
IEEE International Conference on Information Reuse and Integration,1,,,,,não listado
BMC Medical Education,1,A2,periódico,1472-6920,BMC MEDICAL EDUCATION (ONLINE),ISSN
International Conference on Parallel and Distributed Systems,1,A3,evento,ICPADS,International Conference on Parallel and Distributed Systems,nome
International Journal of Advances in Intelligent Informatics,1,,,,,não listado
Computer Science and Information Technology,1,,,,,não listado
Computers and Education: Artificial Intelligence,1,A1,periódico,2666-920X,COMPUTERS AND EDUCATION: ARTIFICIAL INTELLIGENCE,ISSN
International Conference on Model-Driven Engineering and Software Development,1,B1,evento,MODELSWARD,International Conference on Model-Driven Engineering and Software Development,nome
Latin American Conference on Computational Intelligence,1,B2,evento,LA-CCI,Latin American Conference on Computational Intelligence,nome
Anais Estendidos do XXIII Simpósio Brasileiro de Qualidade de Software (SBQS Estendido 2024),1,A3,evento,SBQS,Simpósio Brasileiro de Qualidade de Software,nome
Journal of Baltic Science Education,1,,,,,não listado
"2025 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA)",1,,,,,não listado
2024 13th International Conference On Software Process Improvement (CIMPS),1,,,,,não listado
مجلة جامعة صنعاء للعلوم التطبيقية والتكنولوجيا,1,,,,,não listado
Systemic Analytics,1,,,,,não listado
Bilgisayar Bilimleri ve Mühendisliği Dergisi,1,,,,,não listado
International Journal of Innovative Technologies in Economy,1,,,,,não listado
"Journal of Advances in Accounting, Economics, and Management",1,,,,,não listado
International Journal of Innovative Technologies in Social Science,1,,,,,não listado
SinkrOn,1,,,,,não listado
Vysshee Obrazovanie v Rossii  = Higher Education in Russia,1,,,,,não listado
European Management Journal,1,,,,,não listado
"International Conference on Information Technology, Computer, and Electrical Engineering",1,,,,,não listado
ACM Trans. Comput. Hum. Interact.,1,A2,periódico,1073-0516,ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,nome
2024 International Conference on Information Technology Research and Innovation (ICITRI),1,,,,,não listado
Revista EDICIC,1,A4,periódico,2236-5753,REVISTA EDICIC,ISSN
Proceedings of the 2026 AERA Annual Meeting,1,,,,,não listado
Intelligent Sustainable Systems,1,,,,,não listado
International Workshop on Reversible Computation,1,,,,,workshop/trilha
RISTI: Revista Ibérica de Sistemas e Tecnologias de Informação,1,,,,,não listado
Machines,1,B2,periódico,2075-1702,MACHINES,ISSN
International Conference on Information and Communication Technologies for Ageing Well and e-Health,1,,,,,não listado
2025 IEEE/ACM International Conference on Technical Debt (TechDebt),1,A3,evento,TECHDEBT,International Conference on Technical Debt,nome
International Journal on Smart Sensing and Intelligent Systems,1,,,,,não listado
Indonesian Journal of Computer Science,1,,,,,não listado
2026 6th International Conference on Intelligent Technologies (CONIT),1,,,,,não listado
BoatSE@ICSE,1,,,,,workshop/trilha
Journal of automated reasoning,1,A4,periódico,0168-7433,JOURNAL OF AUTOMATED REASONING,ISSN
Intell. Converged Networks,1,,,,,não listado
New Trends in Computer Sciences,1,,,,,não listado
Pakistan Journal of Medical Sciences,1,,,,,não listado
Journal of Korean Institute of Industrial Engineers,1,,,,,não listado
Software Ecosystems: Tooling and Analytics,1,,,,,não listado
Conference on Information and Knowledge Technology,1,,,,,não listado
2024 IEEE/ACM 3rd International Conference on AI Engineering – Software Engineering for AI (CAIN),1,A4,evento,CAIN,International Conference on AI Engineering – Software Engineering for AI,nome
2022 4th International Conference on Sustainable Technologies for Industry 4.0 (STI),1,,,,,não listado
Industrial Cyber-Physical Systems,1,,,,,não listado
Anais do XXX Workshop de Informática na Escola (WIE 2024),1,A4,evento,WIE,Workshop de Informática na Escola,nome
Anais do I Workshop em Engenharia de Software para Programação Funcional (SE4FP 2025),1,,,,,workshop/trilha
Anais Estendidos do I Simpósio Brasileiro de Educação em Computação (EDUCOMP Estendido 2021),1,B1,evento,EDUCOMP,Simpósio Brasileiro de Educação em Computação,nome
Proc. ACM Manag. Data,1,,,,,não listado
2026 IEEE 42nd International Conference on Data Engineering Workshops (ICDEW),1,,,,,workshop/trilha
Pharmaceuticals,1,A2,periódico,1424-8247,PHARMACEUTICALS,ISSN
Conference on Computer and Communications Security,1,,,,,não listado
ONTOBRAS,1,B2,evento,ONTOBRAS,Seminar on Ontology Research in Brazil,sigla
"Semantic Web: – Interoperability, Usability, Applicability",1,A2,periódico,1570-0844,"SEMANTIC WEB: INTEROPERABILITY, USABILITY, APPLICABILITY",nome
Journal of Advances in Management Research,1,A2,periódico,0972-7981,JOURNAL OF ADVANCES IN MANAGEMENT RESEARCH,ISSN
Mimbar PGSD Undiksha,1,,,,,não listado
SAGE Open,1,A1,periódico,2158-2440,SAGE OPEN,ISSN
Review of Management and Economic Engineering,1,,,,,não listado
Anais Estendidos do XVII Simpósio Brasileiro de Sistemas Colaborativos (SBSC Estendido 2021),1,A4,evento,SBSC,Simpósio Brasileiro de Sistemas Colaborativos,nome
Annals of Emerging Technologies in Computing,1,,,,,não listado
International Conference on Communication and Electronics Systems,1,,,,,não listado
European Journal of Education,1,,,,,não listado
Anais do III Workshop Investigações em Interação Humano-Dados (WIDE 2024),1,B4,evento,WIDE,Workshop on Interactions with Human Experiences,sigla
Anais do XXXVI Concurso de Teses e Dissertações (CTD 2023),1,,,,,não listado
Gamify@ISSTA,1,,,,,workshop/trilha
GAS@ICSE,1,,,,,workshop/trilha
ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,1,A2,evento,CHIPlay,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,nome
Science Engineering and Technology,1,,,,,não listado
Discover Artificial Intelligence,1,A4,periódico,2731-0809,DISCOVER ARTIFICIAL INTELLIGENCE,ISSN
Proceedings of the Association for Information Science and Technology,1,,,,,não listado
Conference on Computer Science and Communication Technology,1,,,,,não listado
IEEE Aerospace Conference,1,,,,,não listado
SEST,1,,,,,não listado
International Journal of Innovations in Science Engineering And Management,1,,,,,não listado
Anais do III Workshop sobre as Implicações da Computação na Sociedade (WICS 2022),1,B3,evento,WICS,Workshop sobre as Implicações da Computação na Sociedade,nome
Journal of Integrated Design & Process Science,1,,,,,não listado
Revista Iberoamericana de Tecnología en Educación y Educación en Tecnología,1,A1,periódico,1850-9959,REVISTA IBEROAMERICANA DE TECNOLOGIA EN EDUCACIÓN Y EDUCACIÓN EN TECNOLOGÍA (EN LÍNEA),ISSN
"Anais do VIII Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software (WASHES 2023)",1,B2,evento,WASHES,"Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software",nome
Norsk IKT-konferanse for forskning og utdanning,1,,,,,não listado
Cureus,1,B1,periódico,2168-8184,CUREUS,ISSN
IMX,1,A3,evento,ACMIMX,ACM International Conference on Interactive Media Experiences,nome
Conjecturas,1,C,periódico,1657-5830,CONJECTURAS,ISSN
INOVTEK Polbeng - Seri Informatika,1,,,,,não listado
2022 International Conference on Computational Science and Computational Intelligence (CSCI),1,,,,,não listado
QuASoQ/SEED@APSEC,1,,,,,workshop/trilha
International Conference on Advances in Web-Based Learning,1,,,,,não listado
"2022 IEEE 28th International Conference on Engineering, Technology and Innovation (ICE/ITMC) & 31st International Association For Management of Technology (IAMOT) Joint Conference",1,,,,,não listado
2022 31st Annual Conference of the European Association for Education in Electrical and Information Engineering (EAEEIE),1,,,,,não listado
IEEE International Conference on Data Engineering,1,A1,evento,ICDE,IEEE International Conference on Data Engineering,nome
2024 IEEE/ACM 46th International Conference on Software Engineering: Software Engineering in Society (ICSE-SEIS),1,B1,evento,ICSE-SEIS,International Conference on Software Engineering: Software Engineering in Society,nome
2025 5th International Conference on Intelligent Cybernetics Technology & Applications (ICICyTA),1,,,,,não listado
Jurnal Ilmiah Teknik Elektro Komputer dan Informatika,1,,,,,não listado
Revista de Gestão Social e Ambiental,1,C,periódico,1981-982X,REVISTA DE GESTÃO SOCIAL E AMBIENTAL (RGSA),ISSN
Journal of engineering design,1,,,,,não listado
International Journal of Research In Business and Social Science,1,,,,,não listado
"Eurasia Journal of Mathematics, Science and Technology Education",1,,,,,não listado
Nanotechnology Perceptions,1,,,,,não listado
Journal of Reliable Intelligent Environments,1,A2,periódico,2199-4676,JOURNAL OF RELIABLE INTELLIGENT ENVIRONMENTS,nome
2026 International Conference on Current Research in Artificial Intelligence and Data Science (ICCRAIDS),1,,,,,não listado
Ingeniería y Competitividad,1,,,,,não listado
Studies in Higher Education,1,,,,,não listado
UbiComp Companion,1,,,,,workshop/trilha
Personal and Ubiquitous Computing,1,A1,periódico,1617-4909,PERSONAL AND UBIQUITOUS COMPUTING (PRINT),ISSN
Central-European Journal of New Technologies in Research Education and Practice,1,,,,,não listado
IEEE/ACM International Conference on Human-Robot Interaction,1,,,,,não listado
International Conference on Advances in Social Networks Analysis and Mining,1,A2,evento,ASONAM,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,nome
World wide web (Bussum),1,A2,periódico,1386-145X,WORLD WIDE WEB,ISSN
"2023 Congress in Computer Science, Computer Engineering, & Applied Computing (CSCE)",1,,,,,não listado
International Conferences on Dependable Systems and Their Applications,1,,,,,não listado
NLBSE@ICSE,1,,,,,workshop/trilha
Computing and Communication Workshop and Conference,1,,,,,workshop/trilha
Transylvanian Review of Administrative Sciences,1,,,,,não listado
International Conference on Intelligent Computing,1,,,,,não listado
IEEE Open Journal of the Industrial Electronics Society,1,,,,,não listado
"Automation, Control, and Information Technology",1,A2,evento,CIT,IEEE International Conference on Information Technology,nome aproximado
Brain Science,1,C,periódico,2076-3425,BRAIN SCIENCES,nome
International Conference on Wireless Communications and Mobile Computing,1,A1,evento,IWCMC,International Wireless Communications and Mobile Computing Conference,sigla
Fourth International Conference on Geoscience and Remote Sensing Mapping,1,,,,,não listado
2025 IEEE 5th International Conference on Software Engineering and Artificial Intelligence (SEAI),1,,,,,não listado
International Conference on Knowledge and Systems Engineering,1,,,,,não listado
i-manager's Journal on Software Engineering,1,,,,,não listado
Indian Journal of Information Sources and Services,1,,,,,não listado
"2024 IEEE 7th International Conference on Automation, Electronics and Electrical Engineering (AUTEEE)",1,,,,,não listado
Computers & electrical engineering,1,A2,periódico,0045-7906,COMPUTERS & ELECTRICAL ENGINEERING,ISSN
Revue d'Intelligence Artificielle,1,,,,,não listado
Royal Society Open Science,1,A1,periódico,2054-5703,ROYAL SOCIETY OPEN SCIENCE,ISSN
at - Automatisierungstechnik,1,,,,,não listado
Proceedings of the 3rd International Workshop on Designing Software,1,,,,,workshop/trilha
Conference on Computing Education Practice,1,,,,,não listado
UK & Ireland Computing Education Research Conference,1,,,,,não listado
Anais Estendidos do XIV Congresso Brasileiro de Informática na Educação (CBIE 2025),1,,,,,não listado
Revista Brasileira de Informática na Educação,1,A3,periódico,1414-5685,REVISTA BRASILEIRA DE INFORMÁTICA NA EDUCAÇÃO,ISSN
International Conference on Human-Agent Interaction,1,,,,,não listado
World Journal of Advanced Engineering Technology and Sciences,1,,,,,não listado
International Conference on Electrical Engineering and Informatics,1,,,,,não listado
Electronic Journal of Information Systems in Developing Countries,1,A3,periódico,1681-4835,THE ELECTRONIC JOURNAL OF INFORMATION SYSTEMS IN DEVELOPING COUNTRIES,ISSN
SoftwareX,1,A3,periódico,2352-7110,SOFTWAREX,ISSN
Australasian Computer Science Week,1,,,,,não listado
Lancet Global Health,1,,,,,não listado
Anais Estendidos do II Simpósio Brasileiro de Educação em Computação (EDUCOMP Estendido 2022),1,B1,evento,EDUCOMP,Simpósio Brasileiro de Educação em Computação,nome
IEEE International Conference on Cloud Computing,1,A2,evento,CLOUD,IEEE International Conference on Cloud Computing,nome
"2026 Intermountain Engineering, Technology and Computing (IETC)",1,,,,,não listado
Applied Computational Intelligence and Soft Computing,1,,,,,não listado
International Journal of Human-Computer Studies,1,A1,periódico,1071-5819,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES (PRINT),ISSN
Conference on Digital Government Research,1,,,,,não listado
Jurnal Repositor,1,,,,,não listado
2024 5th International Conference on Data Analytics for Business and Industry (ICDABI),1,,,,,não listado
Anais do I Colóquio em Blockchain e Web Descentralizada (CBlockchain 2023),1,,,,,não listado
Anais da X Escola Regional de Informática de Goiás (ERI-GO 2022),1,,,,,não listado
Proceedings of the 8th International Workshop on Software Engineering Research and Practices for the IoT,1,,,,,workshop/trilha
"2025 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunications Engineering (ECTI DAMT & NCON)",1,,,,,não listado
Handbook on Teaching Empirical Software Engineering,1,,,,,não listado
Anais Estendidos do XXIV Simpósio Brasileiro de Segurança da Informação e de Sistemas Computacionais (SBSeg Estendido 2024),1,A4,evento,SBSeg,Simpósio Brasileiro de Segurança da Informação e de Sistemas Computacionais,nome
Anais do XXX Workshop sobre Educação em Computação (WEI 2022),1,A4,evento,WEI,Workshop sobre Educação em Computação,nome
2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),1,,,,,workshop/trilha
Journal of Information and Organizational Sciences,1,,,,,não listado
IEEE Pacific Visualization Symposium,1,,,,,não listado
WSESE@ICSE,1,,,,,workshop/trilha
GeCoIn@ECAI,1,,,,,workshop/trilha
USENIX Security Symposium,1,,,,,não listado
International Conference on Machine Learning,1,A1,evento,ICML,International Conference on Machine Learning,nome
IEEE Signal Processing Magazine,1,A1,periódico,1053-5888,IEEE SIGNAL PROCESSING MAGAZINE (PRINT),ISSN
IEEE International Workshops on Enabling Technologies: Infrastracture for Collaborative Enterprises,1,,,,,workshop/trilha
International journal of electronic governance and research,1,A3,periódico,1548-3886,INTERNATIONAL JOURNAL OF ELECTRONIC GOVERNMENT RESEARCH,nome
International Journal of Special Education,1,,,,,não listado
CHI Extended Abstracts,1,,,,,não listado
2026 International Conference on Sustainable Engineering and Digital Innovation (ICSEDI),1,,,,,não listado
International Journal of Next-Generation Computing,1,,,,,não listado
2024 IEEE 21st International Conference on Software Architecture Companion (ICSA-C),1,,,,,workshop/trilha
2023 IEEE International Conference on Software Services Engineering (SSE),1,A4,evento,SSE,IEEE International Conference on Software Services Engineering,nome
2022 IEEE International Conference on Autonomic Computing and Self-Organizing Systems Companion (ACSOS-C),1,,,,,workshop/trilha
"IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing",1,A2,evento,CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",sigla
Frontiers in Artificial Intelligence Research,1,,,,,não listado
Workshop on Innovative Use of NLP for Building Educational Applications,1,,,,,workshop/trilha
"2022 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies (3ICT)",1,,,,,não listado
Anais do XVI Brazilian e-Science Workshop (BRESCI 2022),1,B4,evento,BRESCI,Brazilian e-Science Workshop,nome
2023 International Conference on Information Technology (ICIT),1,A2,evento,CIT,IEEE International Conference on Information Technology,nome
2023 2nd International Conference for Innovation in Technology (INOCON),1,,,,,não listado
Annual Meeting of the Association for Computational Linguistics,1,A1,evento,ACL,Annual Meeting of the Association for Computational Linguistics,nome
TUGboat,1,,,,,não listado
Djtechno: Jurnal Teknologi Informasi,1,,,,,não listado
2023 3rd International Conference on Innovative Sustainable Computational Technologies (CISCT),1,,,,,não listado
2022 6th International Conference on Informatics and Computational Sciences (ICICoS),1,,,,,não listado
European Conference on Modelling and Simulation,1,,,,,não listado
2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),1,,,,,workshop/trilha
International Conference on Computational Linguistics,1,A1,evento,COLING,International Conference on Computational Linguistics,nome
Proceedings of the 2nd International Conference on Intelligent Education and Computer Technology,1,,,,,não listado
Land,1,C,periódico,2073-445X,LAND,ISSN
IEEE Transactions on Learning Technologies,1,A1,periódico,1939-1382,IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES,ISSN
Rendvédelem,1,,,,,não listado
Educational Dimension,1,,,,,não listado
Journal of Information Systems Engineering & Management,1,B3,periódico,2468-4376,JOURNAL OF INFORMATION SYSTEMS ENGINEERING & MANAGEMENT,ISSN
International Conference on Big Data and Artificial Intelligence,1,,,,,não listado
International Conference on Information and Knowledge Management,1,A1,evento,CIKM,ACM International Conference on Information and Knowledge Management,nome
International Conference Computing Engineering and Design,1,,,,,não listado
International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications,1,,,,,não listado
Conference on Computer Science and Information Systems,1,A3,evento,FEDCSIS,Federated Conference on Computer Science and Information Systems,sigla
Scientific Bulletin of UNFU,1,,,,,não listado
West Science Journal Economic and Entrepreneurship,1,,,,,não listado
"Conference on Fairness, Accountability and Transparency",1,A1,evento,FACCT,"ACM Conference on Fairness, Accountability, and Transparency",nome
"2025 International Conference on Emerging Technologies in Electronics, Computing, and Communication (ICETECC)",1,,,,,não listado
Processes,1,B1,periódico,2227-9717,PROCESSES,ISSN
"Engineering, Technology &amp; Applied Science Research",1,,,,,não listado
"International Conference on Software, Telecommunications and Computer Networks",1,A4,evento,SOFTCOM,"International Conference on Software, Telecommunications and Computer Networks",nome
International Conference on Recent Advances and Innovations in Engineering,1,,,,,não listado
IEEE International Symposium on Network Computing and Applications,1,A4,evento,NCA,IEEE International Symposium on Network Computing and Applications,nome
Alexandria Engineering Journal,1,,,,,não listado
Mathematical Structures in Computer Science,1,A4,periódico,0960-1295,MSCS. MATHEMATICAL STRUCTURES IN COMPUTER SCIENCE (PRINT),ISSN
Environment-Behaviour Proceedings Journal,1,,,,,não listado
Cleaner Engineering and Technology,1,,,,,não listado
Electronic Proceedings in Theoretical Computer Science,1,,,,,não listado
SoutheastCon,1,,,,,não listado
Conference on Data and Application Security and Privacy,1,,,,,não listado
Neural Information Processing Systems,1,A1,evento,NEURIPS,Neural Information Processing Systems,nome
International Joint Conference on Artificial Intelligence,1,A1,evento,IJCAI,International Joint Conference on Artificial Intelligence,nome
2022 Ivannikov Memorial Workshop (IVMEM),1,,,,,workshop/trilha
ACM Transactions on Computational Logic,1,A2,periódico,1529-3785,ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,ISSN
2022 IEEE/ACM 44th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),1,A1,evento,ICSE-SEIP,ACM International Conference on Software Engineering: Software Engineering in Practice,nome
Annual Conference for Computer Science Logic,1,,,,,não listado
Theoretical Computer Science,1,B1,periódico,0304-3975,THEORETICAL COMPUTER SCIENCE,ISSN
USENIX Annual Technical Conference,1,A1,evento,ATC,USENIX Annual Technical Conference,nome
2024 International Conference on IT Innovation and Knowledge Discovery (ITIKD),1,,,,,não listado
Industrial Conference on Data Mining,1,A1,evento,ICDM,IEEE International Conference on Data Mining,nome
Proc. ACM Manag. Data,1,B1,periódico,2836-6573,PROCEEDINGS OF THE ACM ON MANAGEMENT OF DATA (ONLINE),nome
"International Journal on Advanced Science, Engineering and Information Technology",1,B1,periódico,2088-5334,"INTERNATIONAL JOURNAL ON ADVANCED SCIENCE, ENGINEERING AND INFORMATION TECHNOLOGY",ISSN
2022 IEEE European Technology and Engineering Management Summit (E-TEMS),1,,,,,não listado
2026 IEEE International Conference for Convergence in Computing Technology (I3CTCON),1,,,,,não listado
International Conference on Education and E-Learning,1,,,,,não listado
Türkiye Bilişim Vakfı Bilgisayar Bilimleri ve Mühendisliği dergisi,1,,,,,não listado
"Anais do XIII Workshop-Escola de Sistemas de Agentes, seus Ambientes e Aplicações (WESAAC 2019)",1,,,,,workshop/trilha
Revista Produção Online,1,,,,,não listado
"VI INTERNATIONAL SCIENTIFIC CONVENTION OF UNIVERSIDAD TéCNICA DE MANABí: Advances in Basic Sciences, Informatics and Applied Engineering",1,,,,,não listado
Annual Conference on Genetic and Evolutionary Computation,1,A1,evento,GECCO,Genetic and Evolutionary Computation Conference,nome
Technology audit and production reserves,1,B2,periódico,2706-5448,TECHNOLOGY AUDIT AND PRODUCTION RESERVES (ONLINE),nome
Automated Design of Machine Learning and Search Algorithms,1,,,,,não listado
Urban Science,1,,,,,não listado
CIB Conferences,1,,,,,não listado
2025 IEEE European Technology and Engineering Management Summit (E-TEMS),1,,,,,não listado
IEEE Systems Journal,1,A1,periódico,1937-9234,IEEE SYSTEMS JOURNAL,nome
ACM Transactions on Intelligent Systems and Technology,1,A1,periódico,2157-6904,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,ISSN
Future generations computer systems,1,A1,periódico,0167-739X,FUTURE GENERATION COMPUTER SYSTEMS,ISSN
ITM Web of Conferences,1,,,,,não listado
,1,A3,periódico,2071-1050,SUSTAINABILITY (BASEL),nome
Spring Simulation Multiconference,1,,,,,não listado
3RD INTERNATIONAL CONFERENCE ON SMART CITIES AND SUSTAINABLE PLANNING,1,,,,,não listado
PROCEEDINGS OF THE 15TH INTERNATIONAL CONFERENCE ON X-RAY MICROSCOPY – XRM2022,1,,,,,não listado
Handbook of Smart Cities,1,,,,,não listado
International Conference on Contemporary Computing,1,,,,,não listado
2022 4th International Conference on Computer Science and Technologies in Education (CSTE),1,,,,,não listado
Revista de ciencias sociales,1,,,,,não listado
ER Forum/Posters/Demos,1,,,,,não listado
International Workshop on Augmented Reality in Education,1,,,,,workshop/trilha
IEEE International Conference on Services Computing,1,A4,evento,IEEESCC,IEEE International Conference on Services Computing,nome
Anais Estendidos do XVI Simpósio Brasileiro de Sistemas de Informação (Anais Estendidos do SBSI 2020),1,A4,evento,SBSI,Simpósio Brasileiro de Sistemas de Informação,nome
Engineering Reports,1,,,,,não listado
2026 6th International Conference on Emerging Smart Technologies and Applications (eSmarTA),1,B2,evento,ESMARTA,International Conference on Emerging Smart Technologies and Applications,nome
Appl. Ontology,1,A1,periódico,1570-5838,APPLIED ONTOLOGY,nome
THE INTERNATIONAL CONFERENCE ON BATTERY FOR RENEWABLE ENERGY AND ELECTRIC VEHICLES (ICB-REV) 2022,1,,,,,não listado
Educational Sciences International Conference,1,,,,,não listado
